beat,date,crimes
1232,01/04/2016,34
833,01/04/2016,35
1914,01/04/2016,31
1934,01/04/2016,37
2535,01/04/2016,30
1812,01/04/2016,22
2012,01/04/2016,17
831,01/04/2016,58
2514,01/04/2016,32
1622,01/04/2016,36
1013,01/04/2016,29
132,01/04/2016,23
1124,01/04/2016,20
223,01/04/2016,19
733,01/04/2016,40
1021,01/04/2016,36
2524,01/04/2016,20
2525,01/04/2016,22
633,01/04/2016,31
1512,01/04/2016,33
411,01/04/2016,30
1111,01/04/2016,27
834,01/04/2016,45
1012,01/04/2016,18
2533,01/04/2016,49
221,01/04/2016,25
1932,01/04/2016,18
2511,01/04/2016,15
915,01/04/2016,30
1732,01/04/2016,27
1832,01/04/2016,24
2431,01/04/2016,16
924,01/04/2016,26
1423,01/04/2016,26
2411,01/04/2016,30
522,01/04/2016,37
231,01/04/2016,25
911,01/04/2016,18
814,01/04/2016,23
1223,01/04/2016,32
1011,01/04/2016,52
1712,01/04/2016,51
2412,01/04/2016,18
832,01/10/2016,40
124,01/04/2016,32
1814,01/04/2016,35
1432,01/04/2016,18
1935,01/04/2016,34
735,01/04/2016,35
1813,01/04/2016,12
1421,01/04/2016,27
1822,01/04/2016,15
213,01/04/2016,23
1634,01/04/2016,27
2013,01/04/2016,15
1424,01/04/2016,39
1434,01/04/2016,36
1733,01/04/2016,22
832,01/04/2016,51
1034,01/04/2016,41
2232,01/04/2016,26
235,01/04/2016,8
1413,01/04/2016,14
1422,01/04/2016,31
531,01/04/2016,30
1633,01/04/2016,25
1912,01/04/2016,23
1412,01/04/2016,27
2423,01/04/2016,20
1724,01/04/2016,27
2024,01/04/2016,14
421,01/01/2016,75
132,01/09/2016,27
832,01/01/2016,51
2233,01/01/2016,30
2012,01/05/2016,16
211,01/01/2016,22
1931,01/01/2016,33
131,01/06/2016,42
813,01/10/2014,47
1422,01/01/2014,43
723,01/10/2016,17
1733,01/05/2016,24
912,01/10/2013,35
711,01/08/2016,36
313,01/09/2015,27
831,01/12/2015,49
1654,01/10/2015,16
533,01/05/2016,44
1134,01/09/2015,63
411,01/04/2015,36
631,01/05/2016,52
1134,01/07/2015,53
1134,01/01/2015,68
1132,01/04/2015,53
1532,01/04/2015,42
1021,01/06/2015,30
725,01/06/2015,51
2533,01/06/2015,39
1821,01/05/2015,22
411,01/05/2015,46
823,01/05/2016,52
632,01/05/2015,52
2232,01/05/2016,37
1023,01/07/2015,21
733,01/01/2015,53
713,01/10/2015,30
1123,01/10/2015,36
1115,01/02/2015,46
1132,01/02/2015,40
1132,01/11/2015,62
1133,01/12/2015,59
1115,01/12/2015,37
832,01/02/2015,33
1513,01/02/2015,34
612,01/03/2015,50
1532,01/10/2015,49
726,01/10/2015,26
726,01/12/2015,36
1124,01/01/2015,35
1011,01/02/2015,71
713,01/02/2015,44
1132,01/05/2016,55
422,01/06/2015,41
123,01/05/2016,47
724,01/08/2015,24
723,01/08/2015,40
725,01/09/2015,42
214,01/11/2015,25
221,01/12/2015,20
224,01/12/2015,25
213,01/12/2015,28
1654,01/08/2015,8
1134,01/03/2015,48
613,01/05/2016,45
511,01/05/2016,73
222,01/01/2015,46
1651,01/11/2015,14
932,01/07/2015,35
715,01/06/2015,23
313,01/10/2015,36
1134,01/11/2015,69
1115,01/11/2015,48
2515,01/05/2016,50
825,01/11/2015,57
726,01/11/2015,30
713,01/11/2015,55
1022,01/12/2015,39
1135,01/12/2015,51
724,01/12/2015,31
1833,01/08/2016,52
623,01/05/2016,54
612,01/01/2016,55
1634,01/01/2016,27
1225,01/02/2016,23
122,01/01/2015,57
524,01/01/2015,38
121,01/08/2015,36
524,01/03/2016,41
1821,01/03/2015,30
832,01/03/2015,48
1021,01/01/2015,38
632,01/03/2015,45
321,01/07/2015,53
1931,01/09/2015,22
424,01/06/2015,35
1225,01/01/2015,41
431,01/06/2015,55
131,01/07/2015,35
322,01/01/2016,42
1235,01/01/2016,28
2412,01/02/2016,32
222,01/02/2016,37
825,01/02/2016,38
812,01/01/2016,32
1824,01/12/2016,42
222,01/01/2016,43
1923,01/02/2016,35
814,01/02/2016,29
621,01/02/2016,58
1434,01/02/2016,30
1212,01/02/2016,34
512,01/02/2016,23
1822,01/02/2016,27
1613,01/01/2016,21
912,01/03/2016,37
1512,01/02/2016,25
821,01/02/2016,20
1122,01/01/2016,59
1231,01/02/2016,19
2522,01/04/2016,27
334,01/02/2016,22
2535,01/05/2016,38
1822,01/03/2016,30
1411,01/04/2016,13
423,01/01/2014,82
1021,01/05/2016,50
2212,01/05/2016,34
414,01/05/2016,55
113,01/05/2016,47
211,01/05/2016,42
1533,01/05/2013,91
313,01/05/2016,37
1713,01/05/2016,18
813,01/05/2016,40
411,01/05/2016,33
1524,01/05/2016,37
1224,01/05/2016,44
1234,01/05/2016,32
1033,01/05/2016,26
1412,01/05/2016,24
512,01/01/2014,59
433,01/05/2016,35
421,01/05/2016,74
2031,01/05/2016,16
1032,01/05/2016,22
1613,01/05/2016,18
1423,01/05/2016,29
1831,01/05/2016,65
223,01/02/2016,31
411,01/01/2016,37
1233,01/07/2016,37
833,01/02/2016,34
1135,01/05/2016,39
1213,01/05/2016,27
833,01/05/2016,50
1935,01/05/2016,28
735,01/05/2016,24
2033,01/05/2016,16
221,01/05/2016,26
2413,01/05/2016,34
1634,01/05/2016,27
513,01/05/2016,46
2233,01/06/2016,35
1012,01/06/2016,26
613,01/06/2016,37
1024,01/05/2016,33
1814,01/05/2016,36
1651,01/05/2016,15
2534,01/05/2016,38
333,01/05/2016,18
225,01/05/2016,31
1834,01/05/2016,80
722,01/05/2016,31
524,01/05/2016,38
1115,01/05/2016,34
1723,01/05/2016,34
112,01/05/2016,61
1124,01/05/2016,35
1122,01/05/2016,43
1532,01/05/2016,55
1533,01/05/2016,71
1112,01/05/2016,57
1511,01/05/2016,28
1134,01/05/2016,41
815,01/05/2016,47
921,01/05/2016,24
731,01/05/2016,35
1133,01/05/2016,49
1932,01/05/2016,19
612,01/05/2016,55
512,01/05/2016,52
712,01/05/2016,57
1432,01/05/2016,40
1014,01/05/2016,43
522,01/05/2016,49
432,01/05/2016,30
1924,01/05/2016,50
133,01/05/2016,29
122,01/05/2016,71
1034,01/05/2016,27
1931,01/05/2016,23
1914,01/05/2016,35
1531,01/05/2016,51
332,01/05/2016,32
1011,01/05/2016,50
1631,01/05/2016,16
832,01/05/2016,35
1114,01/06/2016,25
922,01/05/2016,36
2023,01/05/2016,18
622,01/05/2016,26
913,01/05/2016,28
1732,01/05/2016,31
213,01/05/2016,32
734,01/05/2016,24
1223,01/05/2016,41
1833,01/05/2016,56
423,01/05/2016,60
723,01/05/2016,45
1925,01/05/2016,42
1512,01/05/2016,35
1424,01/05/2016,48
2234,01/05/2016,46
1913,01/05/2016,28
124,01/05/2016,28
2525,01/05/2016,21
1022,01/05/2016,35
111,01/05/2016,61
1133,01/06/2016,60
921,01/06/2016,25
2413,01/06/2016,33
431,01/05/2016,38
511,01/06/2016,69
121,01/05/2016,23
1821,01/05/2016,40
713,01/05/2016,36
222,01/05/2016,40
931,01/05/2016,27
2521,01/05/2016,38
321,01/05/2016,51
831,01/05/2016,55
331,01/05/2016,38
711,01/05/2016,33
825,01/05/2016,42
725,01/05/2016,33
1023,01/05/2016,28
2013,01/05/2016,11
434,01/05/2016,12
531,01/05/2016,33
1711,01/05/2016,15
1131,01/05/2016,46
424,01/05/2016,40
1413,01/05/2016,21
231,01/05/2016,21
232,01/05/2016,23
1813,01/05/2016,20
224,01/05/2016,18
215,01/05/2016,13
1421,01/05/2016,20
532,01/06/2016,33
2411,01/06/2016,45
913,01/06/2016,34
1633,01/05/2016,30
621,01/05/2016,50
523,01/05/2016,42
732,01/05/2016,26
1012,01/05/2016,26
724,01/05/2016,33
2524,01/05/2016,24
912,01/05/2016,24
923,01/05/2016,20
1731,01/05/2016,21
1911,01/05/2016,17
324,01/05/2016,47
821,01/05/2016,13
1522,01/05/2016,65
323,01/05/2016,34
1232,01/05/2016,29
1623,01/05/2016,24
312,01/05/2016,46
814,01/05/2016,41
2511,01/05/2016,24
2533,01/05/2016,42
634,01/05/2016,30
2222,01/05/2016,30
1621,01/05/2016,17
2514,01/05/2016,34
1113,01/05/2016,44
1231,01/05/2016,29
1922,01/05/2016,24
2233,01/05/2016,26
1824,01/06/2016,50
314,01/05/2016,19
1123,01/05/2016,34
1215,01/05/2016,31
413,01/05/2016,38
822,01/05/2016,29
614,01/05/2016,27
1121,01/05/2016,42
1411,01/05/2016,19
2422,01/05/2016,28
1822,01/05/2016,34
2423,01/05/2016,17
2431,01/05/2016,16
1824,01/05/2016,36
1513,01/05/2016,23
835,01/06/2016,43
824,01/05/2016,30
1632,01/05/2016,27
1011,01/06/2016,57
2531,01/05/2016,33
1923,01/05/2016,30
2211,01/05/2016,20
2511,01/06/2016,31
433,01/06/2016,39
1653,01/05/2016,9
1722,01/05/2016,47
1013,01/05/2016,32
412,01/05/2016,44
2032,01/05/2016,16
2223,01/05/2016,43
2213,01/05/2016,22
835,01/05/2016,49
1433,01/05/2016,29
1724,01/05/2016,30
1031,01/05/2016,42
925,01/05/2016,26
933,01/05/2016,17
934,01/05/2016,28
1933,01/05/2016,26
1233,01/05/2016,25
1523,01/05/2016,40
1811,01/05/2016,19
1225,01/05/2016,31
1214,01/05/2016,45
532,01/05/2016,21
834,01/05/2016,52
1622,01/05/2016,30
322,01/05/2016,31
733,01/05/2016,24
914,01/05/2016,19
1422,01/05/2016,31
1614,01/05/2016,24
2432,01/05/2016,25
131,01/05/2016,36
812,01/05/2016,28
624,01/05/2016,45
2221,01/05/2016,35
214,01/05/2016,27
1832,01/05/2016,33
714,01/05/2016,34
2523,01/05/2016,24
1221,01/05/2016,30
2433,01/05/2016,22
811,01/05/2016,28
915,01/05/2016,33
1414,01/05/2016,16
334,01/05/2016,22
1212,01/05/2016,36
311,01/05/2016,25
1431,01/05/2016,14
2011,01/05/2016,32
2532,01/05/2016,46
321,01/07/2016,39
1512,01/06/2016,35
523,01/05/2015,39
1522,01/12/2016,55
1014,01/01/2014,48
831,01/02/2016,49
1724,01/06/2016,15
1014,01/03/2016,27
1831,01/07/2016,61
1232,01/06/2016,45
1513,01/06/2016,29
923,01/06/2016,24
2031,01/06/2016,16
915,01/09/2015,36
1123,01/06/2015,39
1434,01/11/2014,35
1723,01/08/2016,43
2521,01/11/2016,40
2431,01/01/2016,19
1011,01/03/2016,69
1024,01/06/2016,47
1622,01/06/2016,24
1422,01/06/2016,27
215,01/06/2016,14
1423,01/06/2016,34
1613,01/06/2016,19
1731,01/06/2016,29
2022,01/06/2016,11
2521,01/06/2016,42
313,01/06/2016,24
815,01/06/2016,38
1614,01/06/2016,18
1924,01/06/2016,40
1925,01/06/2016,41
1934,01/06/2016,35
1222,01/06/2016,28
1834,01/06/2016,69
1922,01/06/2016,27
1833,01/06/2016,37
733,01/06/2016,28
734,01/06/2016,27
124,01/06/2016,39
323,01/06/2016,42
2222,01/06/2016,39
1223,01/06/2016,41
1215,01/06/2016,40
1432,01/06/2016,28
421,01/06/2016,57
1831,01/06/2016,54
332,01/06/2016,31
831,01/06/2016,67
1612,01/06/2016,14
1723,01/06/2016,34
1611,01/06/2016,16
1732,01/06/2016,35
624,01/06/2016,69
1651,01/06/2016,17
1722,01/06/2016,32
2422,01/06/2016,27
112,01/06/2016,68
1913,01/06/2016,25
1711,01/06/2016,24
1712,01/06/2016,40
2532,01/06/2016,33
622,01/06/2016,24
1832,01/06/2016,33
1032,01/06/2016,23
1023,01/06/2016,28
424,01/06/2016,35
1411,01/06/2016,14
1533,01/06/2016,75
1812,01/06/2016,28
1112,01/06/2016,67
2011,01/06/2016,45
1433,01/06/2016,34
314,01/06/2016,20
911,01/06/2016,21
1233,01/06/2016,22
1531,01/06/2016,52
824,01/06/2016,23
513,01/06/2016,45
321,01/06/2016,50
1634,01/06/2016,27
111,01/06/2016,63
214,01/06/2016,20
213,01/06/2016,23
2512,01/06/2016,45
2534,01/06/2016,46
2525,01/06/2016,16
632,01/06/2016,54
1021,01/06/2016,42
634,01/06/2016,37
1122,01/06/2016,57
312,01/06/2016,41
1111,01/06/2016,46
311,01/06/2016,21
735,01/06/2016,43
1224,01/06/2016,36
113,01/06/2016,33
812,01/06/2016,23
1932,01/06/2016,17
1911,01/06/2016,30
623,01/06/2016,47
2433,01/06/2016,24
1511,01/06/2016,28
123,01/06/2016,35
1134,01/06/2016,49
2212,01/06/2016,41
2515,01/06/2016,40
1412,01/06/2016,19
2412,01/06/2016,31
324,01/06/2016,38
1115,01/06/2016,32
1912,01/06/2016,23
414,01/06/2016,57
932,01/06/2016,21
814,01/06/2016,26
1522,01/06/2016,59
2221,01/06/2016,28
823,01/06/2016,54
2023,01/06/2016,21
612,01/06/2016,40
412,01/06/2016,42
1935,01/06/2016,30
1231,01/06/2016,27
1225,01/06/2016,34
2013,01/06/2016,14
1123,01/06/2016,37
1113,01/06/2016,59
725,01/06/2016,38
833,01/06/2016,40
1733,01/06/2016,25
912,01/06/2016,29
2234,01/06/2016,26
825,01/06/2016,40
1033,01/06/2016,26
524,01/06/2016,39
2535,01/06/2016,30
1131,01/06/2016,43
614,01/06/2016,30
132,01/06/2016,21
225,01/06/2016,24
122,01/06/2016,55
822,01/06/2016,35
1633,01/06/2016,32
2533,01/06/2016,48
